lead_time,no_of_special_requests,avg_price_per_room,market_segment_type,arrival_month,arrival_date,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
26,0,161.0,4.0,10,17,1,2,0.0,0.0,Not_Canceled
98,2,121.5,4.0,7,16,1,1,0.0,0.0,Not_Canceled
433,0,70.0,3.0,9,8,3,0,0.0,0.0,Canceled
195,0,72.25,3.0,8,8,5,2,0.0,0.0,Not_Canceled
188,0,130.0,3.0,6,15,2,0,0.0,0.0,Canceled
74,1,112.5,4.0,4,6,3,0,0.0,0.0,Canceled
273,0,95.0,3.0,5,13,2,1,0.0,0.0,Canceled
6,0,66.3,4.0,12,15,3,1,3.0,0.0,Not_Canceled
89,1,83.66,4.0,3,21,5,2,0.0,0.0,Not_Canceled
56,1,180.0,4.0,3,20,0,2,0.0,5.0,Canceled
103,1,114.3,4.0,7,12,5,1,0.0,0.0,Not_Canceled
155,0,117.42,4.0,8,30,11,4,0.0,0.0,Canceled
3,0,128.8,4.0,6,11,1,0,0.0,4.0,Not_Canceled
180,0,120.0,3.0,10,10,2,1,0.0,0.0,Canceled
92,2,89.85,4.0,7,12,4,0,0.0,0.0,Not_Canceled
56,0,82.0,3.0,9,17,2,0,1.0,0.0,Not_Canceled
279,0,110.0,4.0,10,12,3,0,0.0,0.0,Canceled
134,1,114.3,4.0,8,10,2,0,0.0,0.0,Not_Canceled
8,1,139.0,4.0,3,25,2,0,3.0,0.0,Not_Canceled
10,2,172.0,4.0,4,29,2,2,0.0,3.0,Not_Canceled
2,1,148.0,4.0,8,21,0,2,0.0,0.0,Not_Canceled
52,1,79.5,4.0,2,26,2,1,3.0,0.0,Canceled
116,0,61.0,3.0,2,28,1,2,0.0,0.0,Canceled
89,0,186.3,4.0,7,21,2,0,0.0,5.0,Canceled
193,0,120.0,4.0,6,20,2,1,0.0,0.0,Canceled
92,0,90.0,3.0,11,11,1,0,0.0,0.0,Not_Canceled
95,1,130.5,4.0,7,1,3,2,0.0,0.0,Not_Canceled
6,1,109.0,4.0,2,4,3,1,0.0,0.0,Canceled
60,1,106.2,4.0,4,1,2,1,0.0,3.0,Not_Canceled
359,1,105.0,4.0,9,16,2,2,0.0,0.0,Canceled
67,2,88.4,4.0,11,23,4,0,0.0,0.0,Canceled
177,0,123.75,4.0,8,3,4,1,0.0,0.0,Canceled
